(.venv) harshinisaidonepudi@dhcp-vl2051-348 mle-module-4-93c3173d-HarshiniDonepudi % python project/run_mnist_multiclass.py
Epoch 1 loss 2.329199013950581 valid acc 2/16
Epoch 1 loss 11.500619016238776 valid acc 2/16
Epoch 1 loss 11.480355990701467 valid acc 3/16
Epoch 1 loss 11.491091150700639 valid acc 2/16
Epoch 1 loss 11.441735511596066 valid acc 2/16
Epoch 1 loss 11.505221332160133 valid acc 3/16
Epoch 1 loss 11.348124869221175 valid acc 3/16
Epoch 1 loss 11.356547369358816 valid acc 3/16
Epoch 1 loss 11.14607820946621 valid acc 2/16
Epoch 1 loss 10.797248590175984 valid acc 4/16
Epoch 1 loss 10.367670305739477 valid acc 8/16
Epoch 1 loss 9.364568607156754 valid acc 5/16
Epoch 1 loss 9.170967330898499 valid acc 8/16
Epoch 1 loss 8.571889781140253 valid acc 10/16
Epoch 1 loss 7.786709521592986 valid acc 8/16
Epoch 1 loss 7.604123744730505 valid acc 12/16
Epoch 1 loss 8.824607648461098 valid acc 7/16
Epoch 1 loss 6.835433358187343 valid acc 10/16
Epoch 1 loss 7.2738264316132195 valid acc 12/16
Epoch 1 loss 5.653368216353869 valid acc 13/16
Epoch 1 loss 5.617305705931709 valid acc 11/16
Epoch 1 loss 5.0740772846620015 valid acc 11/16
Epoch 1 loss 3.6862000938433 valid acc 9/16
Epoch 1 loss 6.446834007956303 valid acc 14/16
Epoch 1 loss 3.8911022592064666 valid acc 11/16
Epoch 1 loss 5.051659532585593 valid acc 14/16
Epoch 1 loss 5.0739391426633444 valid acc 13/16
Epoch 1 loss 3.0745655357930746 valid acc 12/16
Epoch 1 loss 3.464613998442621 valid acc 12/16
Epoch 1 loss 3.4220617779343443 valid acc 11/16
Epoch 1 loss 4.8512580913638175 valid acc 13/16
Epoch 1 loss 4.180232289607101 valid acc 12/16
Epoch 1 loss 5.076527001811153 valid acc 10/16
Epoch 1 loss 4.4728552999600115 valid acc 14/16
Epoch 1 loss 4.706531970113293 valid acc 13/16
Epoch 1 loss 3.3491752134190698 valid acc 12/16
Epoch 1 loss 3.4611803009714603 valid acc 11/16
Epoch 1 loss 3.4644774536882563 valid acc 14/16
Epoch 1 loss 3.7822984396944275 valid acc 14/16
Epoch 1 loss 3.5695469313511246 valid acc 13/16
Epoch 1 loss 2.721593390488475 valid acc 12/16
Epoch 1 loss 3.6859216360509697 valid acc 14/16
Epoch 1 loss 2.3872260344790432 valid acc 15/16
Epoch 1 loss 3.34051650699448 valid acc 13/16
Epoch 1 loss 3.4623264218294434 valid acc 15/16
Epoch 1 loss 2.0786364677471303 valid acc 14/16
Epoch 1 loss 3.936770952619943 valid acc 13/16
Epoch 1 loss 2.9105789590382583 valid acc 14/16
Epoch 1 loss 3.295154519379702 valid acc 14/16
Epoch 1 loss 1.8985168480831263 valid acc 15/16
Epoch 1 loss 3.036662273068747 valid acc 13/16
Epoch 1 loss 2.643969032853329 valid acc 13/16
Epoch 1 loss 3.193139425675968 valid acc 15/16
Epoch 1 loss 3.265468604783019 valid acc 15/16
Epoch 1 loss 3.0435848060799624 valid acc 15/16
Epoch 1 loss 2.4952579540693858 valid acc 12/16
Epoch 1 loss 2.376219223645761 valid acc 13/16
Epoch 1 loss 2.230836302297771 valid acc 14/16
Epoch 1 loss 2.530372076756765 valid acc 14/16
Epoch 1 loss 2.4679060792608327 valid acc 13/16
Epoch 1 loss 2.1621169734471333 valid acc 14/16
Epoch 1 loss 2.1642673710222042 valid acc 13/16
Epoch 1 loss 3.769673800755829 valid acc 13/16
Epoch 2 loss 0.44395460655259766 valid acc 15/16
Epoch 2 loss 2.5394218782650917 valid acc 15/16
Epoch 2 loss 3.4072902539536267 valid acc 13/16
Epoch 2 loss 2.557192798184626 valid acc 14/16
Epoch 2 loss 2.7001448367437733 valid acc 13/16
Epoch 2 loss 1.779504104261533 valid acc 14/16
Epoch 2 loss 2.528999408435708 valid acc 12/16
Epoch 2 loss 3.4106734098474307 valid acc 13/16
Epoch 2 loss 2.595102138598617 valid acc 14/16
Epoch 2 loss 1.8392969538930821 valid acc 15/16
Epoch 2 loss 2.509692469274536 valid acc 14/16
Epoch 2 loss 3.718061195537148 valid acc 15/16
Epoch 2 loss 3.151358300863541 valid acc 15/16
Epoch 2 loss 3.140174173970279 valid acc 14/16
