.venv) harshinisaidonepudi@dhcp-vl2051-348 mle-module-4-93c3173d-HarshiniDonepudi % python project/run_mnist_multiclass.py
Epoch 1 loss 2.3078805300245935 valid acc 2/16
Epoch 1 loss 11.421751555926225 valid acc 2/16
Epoch 1 loss 11.031585164451597 valid acc 2/16
Epoch 1 loss 11.786856374274599 valid acc 1/16
Epoch 1 loss 11.080946268477918 valid acc 7/16
Epoch 1 loss 14.029276213734253 valid acc 5/16
Epoch 1 loss 11.343632704372121 valid acc 4/16
Epoch 1 loss 11.472190902223032 valid acc 2/16
Epoch 1 loss 11.50090631198481 valid acc 2/16
Epoch 1 loss 11.555570646909661 valid acc 2/16
Epoch 1 loss 11.392012387216086 valid acc 5/16
Epoch 1 loss 11.577817272009394 valid acc 3/16
Epoch 1 loss 11.482197475934221 valid acc 3/16
Epoch 1 loss 11.463002923528293 valid acc 3/16
Epoch 1 loss 11.219228265814042 valid acc 4/16
Epoch 1 loss 11.252226449107814 valid acc 9/16
Epoch 1 loss 10.52616372259595 valid acc 6/16
Epoch 1 loss 10.10665025296411 valid acc 7/16
Epoch 1 loss 7.999092650940023 valid acc 4/16
Epoch 1 loss 9.13832989621209 valid acc 7/16
Epoch 1 loss 6.962534867248337 valid acc 10/16
Epoch 1 loss 5.807291270224992 valid acc 9/16
Epoch 1 loss 7.037269696015707 valid acc 6/16
Epoch 1 loss 7.128272799569446 valid acc 10/16
Epoch 1 loss 5.400966733833142 valid acc 11/16
Epoch 1 loss 6.43745345495457 valid acc 8/16
Epoch 1 loss 7.431969933217331 valid acc 12/16
Epoch 1 loss 4.877112187014422 valid acc 11/16
Epoch 1 loss 5.460756892690289 valid acc 13/16
Epoch 1 loss 3.6806771352188847 valid acc 12/16
Epoch 1 loss 4.841466153708909 valid acc 11/16
Epoch 1 loss 5.337677715808294 valid acc 12/16
Epoch 1 loss 4.516701885543386 valid acc 10/16
Epoch 1 loss 4.6015447102352 valid acc 11/16
Epoch 1 loss 6.4653712099086285 valid acc 13/16
Epoch 1 loss 4.372855652776219 valid acc 10/16
Epoch 1 loss 2.9895019275755716 valid acc 11/16
Epoch 1 loss 5.30646303100154 valid acc 11/16
Epoch 1 loss 4.456288566545539 valid acc 11/16
Epoch 1 loss 4.1081741926272315 valid acc 9/16
Epoch 1 loss 3.2243895062783587 valid acc 12/16
Epoch 1 loss 4.244958106809775 valid acc 12/16
Epoch 1 loss 3.0650104383953005 valid acc 12/16
Epoch 1 loss 4.070583385551438 valid acc 11/16
Epoch 1 loss 4.4300181523315 valid acc 11/16
Epoch 1 loss 2.342000652193583 valid acc 13/16
Epoch 1 loss 4.247044550696042 valid acc 14/16
Epoch 1 loss 3.6437754010997803 valid acc 12/16
Epoch 1 loss 3.077149276675237 valid acc 14/16
Epoch 1 loss 2.312883187433581 valid acc 13/16
Epoch 1 loss 3.6611487187954754 valid acc 13/16
Epoch 1 loss 4.26909399895439 valid acc 13/16
Epoch 1 loss 3.606458997335081 valid acc 12/16
Epoch 1 loss 3.0040960334280866 valid acc 13/16
Epoch 1 loss 3.165014913369747 valid acc 13/16
Epoch 1 loss 2.400251206865973 valid acc 14/16
Epoch 1 loss 2.5523965436238445 valid acc 11/16
Epoch 1 loss 5.504088559555839 valid acc 13/16
Epoch 1 loss 3.270656623060127 valid acc 14/16
Epoch 1 loss 3.7024241757501457 valid acc 11/16
Epoch 1 loss 3.3827443358493725 valid acc 15/16
Epoch 1 loss 3.4183549153695267 valid acc 13/16
Epoch 1 loss 2.9070469092036784 valid acc 12/16
Epoch 2 loss 0.25937398030633785 valid acc 12/16
Epoch 2 loss 2.530430273093435 valid acc 12/16
Epoch 2 loss 2.779917343442314 valid acc 13/16
Epoch 2 loss 1.9793520786423193 valid acc 13/16
Epoch 2 loss 2.5378372629362023 valid acc 13/16
Epoch 2 loss 1.9105787176358995 valid acc 11/16
Epoch 2 loss 2.6617235636477075 valid acc 13/16
Epoch 2 loss 3.6065897887566525 valid acc 12/16
Epoch 2 loss 3.7733749441465654 valid acc 13/16
Epoch 2 loss 2.2707641624480095 valid acc 14/16
Epoch 2 loss 1.7089510359449802 valid acc 12/16
Epoch 2 loss 3.5810089078790703 valid acc 13/16
Epoch 2 loss 4.326591316525164 valid acc 14/16
Epoch 2 loss 3.2516481033029776 valid acc 13/16
Epoch 2 loss 3.4668855823086626 valid acc 12/16
Epoch 2 loss 2.5347988803041877 valid acc 14/16
Epoch 2 loss 4.126109136217383 valid acc 11/16
Epoch 2 loss 3.5205657507690566 valid acc 12/16
Epoch 2 loss 2.4805596096046343 valid acc 13/16
Epoch 2 loss 3.0236426158919345 valid acc 13/16
Epoch 2 loss 2.58961781212009 valid acc 13/16
Epoch 2 loss 1.2297856762760508 valid acc 13/16
Epoch 2 loss 1.4271951683950983 valid acc 13/16
Epoch 2 loss 2.4190885661431807 valid acc 12/16
Epoch 2 loss 1.9792944599867943 valid acc 13/16
Epoch 2 loss 3.2492622389876518 valid acc 13/16
Epoch 2 loss 2.235810987063328 valid acc 14/16
Epoch 2 loss 2.7427892248972676 valid acc 14/16
Epoch 2 loss 1.6661720436017562 valid acc 14/16
Epoch 2 loss 0.8901098001764064 valid acc 13/16
Epoch 2 loss 1.8919230791519146 valid acc 14/16
Epoch 2 loss 2.729315596824768 valid acc 14/16
Epoch 2 loss 0.9298890761825256 valid acc 13/16
Epoch 2 loss 2.12074767544617 valid acc 14/16
Epoch 2 loss 2.4659060817207927 valid acc 14/16
Epoch 2 loss 2.8365896866666205 valid acc 14/16
Epoch 2 loss 2.141696415641385 valid acc 13/16
Epoch 2 loss 1.9103098222588226 valid acc 14/16
Epoch 2 loss 2.9227081348422743 valid acc 14/16
Epoch 2 loss 2.382882510068469 valid acc 13/16
Epoch 2 loss 2.733638800385675 valid acc 13/16
Epoch 2 loss 2.7015039416344004 valid acc 13/16
Epoch 2 loss 1.4894349131704372 valid acc 15/16
